"head","tail"
"비녀못002","차정004"
"비녀장002","잠010"
"비부007","비대003"
"비에스005","후시006"
"비에스006","후시007"
"비에이004","건물자동화001"
"비에이에스002","빌딩자동화시스템001"
"비에이에스002","건물자동화시스템001"
"비우006","비첨001"
"비운무늬001","비운004"
"비운무늬001","비운문001"
"비이003","건축부위001"
"비잔틴식001","비잔틴건축001"
"비잔틴식001","비잔틴양식001"
"비티시002","완화곡선시점001"
"빈담001","공장009"
"빈와001","암키와001"
"빗쌤홈001","벽홈001"
"빗철근001","경사철근001"
"빗돌받침001","비대003"
"빗물받이001","우수받이001"
"빗턱끼움001","빗턱맞춤001"
"뻗침툇보001","버팀툇보001"
"뼈대그림001","구조선도001"
"뼈대그림001","골격도001"
"뾰족아치001","첨두아치001"
"뾰족아치001","뾰족홍예001"
"뿔기둥001","유각목001"
"사분합001","사분합문001"
"사수위001","디에스엘005"
"사여과상001","사여상001"
"사장력001","빗장력001"
"사개맞춤001","화통맞춤001"
"사개연귀001","깍지연귀001"
"사개촉001","화통가지001"
"사개통001","화통001"
"사롱002","철선사롱001"
"사롱005","사롱창001"
"사슬자001","체인007"
"사시가네001","구척002"
"사시가네001","곱자001"
"사시가네001","곡척001"
"사연007","며느리서까래001"
"사잇기둥001","샛기둥001"
"사잇기둥001","간주004"
"사춤002","면토001"
"사춤003","뒤채움001"
"사춤돌001","쐐기돌001"
"사태막이001","사방008"
"사태막이001","모래막이001"
"사토장002","사토처리장001"
"삭임통001","소화조001"
"산미003","포살미001"
"산자널001","산자판001"
"산자발001","산자001"
"산지001","산지못001"
"산지구멍001","비녀장구멍001"
"산지이음001","장촉접합001"
"살창001","전창003"
"살창문001","살창001"
"삼물001","회삼물001"
"삼사법001","부등변삼각형법001"
"삼소점법001","삼점투시법001"
"삿갓서까래002","삿갓연001"
"상대공001","마룻대공001"
"상대공001","종대공001"
"상인방001","액방001"
"상인방001","상방007"
"상량002","종도리001"
"상량003","맞보001"
"상방010","월랑003"
"상옥001","화물헛간001"
"상주004","상기둥001"
"새그비001","수하비율001"
"새벽질001","새벽005"
"샛벽001","간벽001"
"샷크리트001","숏크리트001"
"서001","연목002"
"서001","옥연003"
"서까래001","옥연003"
"서까래001","연목002"
"서전법001","스웨덴법001"
"석이두001","이주석001"
"석이두001","이무깃돌001"
"석조루001","누조석001"
"석루조001","석루두001"
"선외001","설외001"
"선외001","세로외001"
"선틀001","선단002"
"선자010","선자추녀001"
"선자연001","선자서까래001"
"설외001","종외002"
"설주001","문곁설중방001"
"설주001","선틀001"
"설주001","선단002"
"세마루001","삼량002"
"세골창001","영성010"
"세묵001","시분001"
"세살문001","세전문001"
"세워쌓기001","입방적001"
"세장비001","슬렌더비001"
"소방적001","작은모쌓기001"
"소루001","접시받침001"
"소루001","소로002"
"소성률001","인성률001"
"소성률002","인성률002"
